Estimate,Est.Error,Q25,Q75,iso3c,country,gdpcap,hcecap,study_pop,hce_prop_gdp,outcome
1681.5551850992376,4813.348312423612,200.83882645385492,1526.1001690671305,AFG,Afghanistan,379.707497269884,80.6516037,adult,0.2124045595093304,hospitalisation
1240.0480552117112,1204.79623127899,479.54280272802987,1571.256296544731,ALB,Albania,5419.63779125273,414.35025024,adult,0.07645349490122004,hospitalisation
904.196053399738,1278.4509453858188,243.6651529600932,1067.162292205738,DZA,Algeria,4660.40545686886,179.69688416,adult,0.038558208255281536,hospitalisation
6365.562341513612,8430.917602987687,1906.488429658867,7514.46276777265,AND,Andorra,40227.2335282714,3192.31567383,adult,0.07935707713001106,hospitalisation
529.1976482532395,641.0901445147958,166.9247477913989,654.302510202834,AGO,Angola,2332.88691268977,101.25614166,adult,0.043403793432598835,hospitalisation
3053.3201118413763,4906.229589352831,822.1573345151239,3492.8049472464413,ATG,Antigua and Barbuda,18090.7735177058,1084.88330078,adult,0.05996887306771063,hospitalisation
3043.178121152406,2713.4403886729037,1284.7982751160719,3915.95124636046,ARG,Argentina,12933.2497342121,1370.88464355,adult,0.1059969204741808,hospitalisation
2056.3303537755346,1727.8813029811265,887.1459817554609,2703.1899985260243,ARM,Armenia,5151.01273118105,674.78619385,adult,0.1310006845382581,hospitalisation
10322.175308157706,10635.131147467666,3735.6201278673166,13016.19550945067,AUS,Australia,61583.9188935304,6730.99511719,adult,0.10929793423550892,hospitalisation
9774.071659326797,8691.824184303767,4005.1857791247567,12740.62202616665,AUT,Austria,46338.9571249412,5851.96240234,adult,0.1262860186206106,hospitalisation
1115.9834685549633,1488.9531398294998,348.3349184815343,1331.0673438860383,AZE,Azerbaijan,5651.34563872949,304.20162964,adult,0.05382817634710965,hospitalisation
4940.776166214252,7206.43678362766,1468.1747653844395,5889.678716509488,BHS,"Bahamas, The",31053.8006388734,2341.32348633,adult,0.07539571447493329,hospitalisation
3768.0609012680056,7274.394036131412,802.7542049819793,3977.1308899516494,BHR,Bahrain,25076.6545031009,1110.67590332,adult,0.044291231239903125,hospitalisation
418.9985757490555,562.2911552276898,126.57863974152275,498.61010560533987,BGD,Bangladesh,1885.37733613545,61.09237671,adult,0.032403262487086026,hospitalisation
3359.6715550507442,4868.459654148803,953.5815536003827,3936.881667022234,BRB,Barbados,19734.2380260921,1302.0592041,adult,0.06597970503743042,hospitalisation
1463.0830089795384,1347.2856488136083,568.7348601138176,1865.7503297372648,BLR,Belarus,6482.80295076287,529.01873779,adult,0.08160339621733331,hospitalisation
8852.144704228347,8153.062996733349,3570.4643434372188,11408.457303900395,BEL,Belgium,44731.0420983801,5404.62402344,adult,0.12082490748937245,hospitalisation
1175.9013062114832,1595.709014130829,338.65489423192366,1429.108506404214,BLZ,Belize,6212.26051785042,297.4163208,adult,0.04787569998801541,hospitalisation
291.8670690358334,405.98519021874694,86.65991240040731,346.9633381299221,BEN,Benin,1263.62565116943,33.88216782,adult,0.02681345364320797,hospitalisation
983.9556690818739,821.1545142385504,427.47345753097335,1289.8739208338543,BOL,Bolivia,3226.08755673382,307.13800049,adult,0.09520448378684272,hospitalisation
1796.197407474732,1521.2879930617596,746.3695254863144,2364.3332635905253,BIH,Bosnia and Herzegovina,6507.01987550791,667.29681396,adult,0.10255029594602455,hospitalisation
1456.3615722327268,1720.160130108682,493.030929224731,1802.7482101903263,BWA,Botswana,7235.92910677284,477.83258057,adult,0.06603610587101358,hospitalisation
2106.933529232333,1960.782610881174,827.6341889525521,2687.7210013813014,BRA,Brazil,9258.05329063487,848.57122803,adult,0.09165763053971461,hospitalisation
4282.288029758854,10970.423393827521,649.7743729687611,4135.683851241945,BRN,Brunei Darussalam,28725.115657314,665.86773682,adult,0.023180680793898092,hospitalisation
2411.0001390464545,2151.981108827821,1022.635493591179,3169.373540132905,BGR,Bulgaria,9819.57352949265,1011.09472656,adult,0.10296727485396613,hospitalisation
277.156970395575,224.26572724231207,125.48852191771284,361.99008623439227,BFA,Burkina Faso,744.165760639938,56.75708389,adult,0.07626941051573283,hospitalisation
158.29468799854607,125.51084774610393,68.71405121919011,211.5265399049367,BDI,Burundi,253.530723439042,24.68718529,adult,0.09737354493028809,hospitalisation
972.2128158491329,963.6449552349823,355.73120208107326,1257.5178481514254,CPV,Cabo Verde,4195.75433916189,285.9694519,adult,0.06815686257673584,hospitalisation
502.7453040943026,532.9551106559435,178.81023442361888,640.0247545297741,KHM,Cambodia,2083.59301849948,109.52975464,adult,0.05256772971857956,hospitalisation
373.98801285347974,399.3031492890407,133.70686289038883,466.65031444337336,CMR,Cameroon,1466.76885819356,71.97737885,adult,0.049072066432229645,hospitalisation
10865.065280239287,9234.290918165685,4658.059415485998,14163.99415014365,CAN,Canada,44468.7475023539,6255.02783203,adult,0.1406612100261852,hospitalisation
299.74649250414444,268.73076064975857,120.36107857859801,394.8598575345021,CAF,Central African Republic,398.330979969132,47.91517639,adult,0.12028985642470769,hospitalisation
209.63982875996334,162.4778182888563,95.54888436384499,276.6324387998684,TCD,Chad,567.181912180859,40.17007446,adult,0.07082396951895542,hospitalisation
3357.930899291657,2954.8953343546154,1396.3450736225009,4402.420289472073,CHL,Chile,14226.5180749128,1547.28967285,adult,0.10876095364321843,hospitalisation
2095.0224274025886,2957.883293625393,583.2612381070871,2491.5769569027507,CHN,China,12175.1961147248,672.45159912,adult,0.055231274534192555,hospitalisation
1498.7488523707052,1600.425528179304,548.3848958896206,1897.2356539717744,COL,Colombia,6819.17983072755,505.50805664,adult,0.07413033080051014,hospitalisation
