Estimate,Est.Error,Q25,Q75,iso3c,country,gdpcap,hcecap,study_pop,hce_prop_gdp,outcome
279.4362332136034,489.6593336493394,54.05752710835081,303.36170845987846,AFG,Afghanistan,379.707497269884,80.6516037,adult,0.2124045595093304,outpatient
27.56255333436671,21.845130185674513,13.032073327671647,35.513014621123425,ALB,Albania,5419.63779125273,414.35025024,adult,0.07645349490122004,outpatient
14.970845014765445,14.607509449200776,6.029905968526672,19.05483296490913,DZA,Algeria,4660.40545686886,179.69688416,adult,0.038558208255281536,outpatient
48.277936468138115,45.55287780355417,20.369208659986704,60.97460784619054,AND,Andorra,40227.2335282714,3192.31567383,adult,0.07935707713001106,outpatient
13.057994627426948,11.42632626719058,5.7441389373364755,16.716869716664025,AGO,Angola,2332.88691268977,101.25614166,adult,0.043403793432598835,outpatient
29.066626398542414,28.60037135496181,11.68439412569983,35.94281809348373,ATG,Antigua and Barbuda,18090.7735177058,1084.88330078,adult,0.05996887306771063,outpatient
54.78054525220117,40.507154613139434,26.66223336014297,71.508076437841,ARG,Argentina,12933.2497342121,1370.88464355,adult,0.1059969204741808,outpatient
71.1365577282742,55.29818578554854,33.95436466197591,91.77670321232125,ARM,Armenia,5151.01273118105,674.78619385,adult,0.1310006845382581,outpatient
84.01959654372283,68.28816729698491,38.85826817961954,108.90234694289134,AUS,Australia,61583.9188935304,6730.99511719,adult,0.10929793423550892,outpatient
105.21623866494552,79.20253839694776,50.55384160466494,137.62285083333728,AUT,Austria,46338.9571249412,5851.96240234,adult,0.1262860186206106,outpatient
19.280012382554816,17.018688881712002,8.237616639131899,24.795632066237605,AZE,Azerbaijan,5651.34563872949,304.20162964,adult,0.05382817634710965,outpatient
41.907567053354086,38.53601050397864,17.3307631965617,54.379984442748,BHS,"Bahamas, The",31053.8006388734,2341.32348633,adult,0.07539571447493329,outpatient
25.610613427190394,29.035972075109978,9.12908529124929,31.194030106972995,BHR,Bahrain,25076.6545031009,1110.67590332,adult,0.044291231239903125,outpatient
10.743236858977923,9.566901002995898,4.546386543006522,13.741292081830018,BGD,Bangladesh,1885.37733613545,61.09237671,adult,0.032403262487086026,outpatient
32.44787152120714,30.43562098893762,13.441397266985526,41.6857318853893,BRB,Barbados,19734.2380260921,1302.0592041,adult,0.06597970503743042,outpatient
31.542067438438686,24.510096016669632,14.880225746776828,40.91618414658936,BLR,Belarus,6482.80295076287,529.01873779,adult,0.08160339621733331,outpatient
95.7489117011461,74.66695330497585,44.85827734193678,124.14918227760995,BEL,Belgium,44731.0420983801,5404.62402344,adult,0.12082490748937245,outpatient
18.420860413618225,16.83082203813847,7.824639878196621,23.383709605298137,BLZ,Belize,6212.26051785042,297.4163208,adult,0.04787569998801541,outpatient
8.876215453924111,7.938454359395862,3.842812105310255,11.275995161765668,BEN,Benin,1263.62565116943,33.88216782,adult,0.02681345364320797,outpatient
32.96981251897097,23.473168312609012,16.78715558185496,43.260765019446964,BOL,Bolivia,3226.08755673382,307.13800049,adult,0.09520448378684272,outpatient
44.489509183847716,32.65355096276121,21.826785853152355,57.7559965393979,BIH,Bosnia and Herzegovina,6507.01987550791,667.29681396,adult,0.10255029594602455,outpatient
24.891081163251805,20.681385309097465,11.127956631119652,32.17105367989859,BWA,Botswana,7235.92910677284,477.83258057,adult,0.06603610587101358,outpatient
39.82601175747135,30.121509796323814,19.357549807478016,51.70486215782503,BRA,Brazil,9258.05329063487,848.57122803,adult,0.09165763053971461,outpatient
20.536896005484223,29.097104086386544,5.886046785692554,24.081325992142194,BRN,Brunei Darussalam,28725.115657314,665.86773682,adult,0.023180680793898092,outpatient
49.10055245875443,35.47660836085481,24.6520921706247,64.30449001211866,BGR,Bulgaria,9819.57352949265,1011.09472656,adult,0.10296727485396613,outpatient
17.03838552469918,11.692276858010201,8.599179623214143,22.51081448772594,BFA,Burkina Faso,744.165760639938,56.75708389,adult,0.07626941051573283,outpatient
19.752031226901728,14.47490319594998,9.534604420401067,26.288035760597214,BDI,Burundi,253.530723439042,24.68718529,adult,0.09737354493028809,outpatient
22.281251801435847,17.043670485954983,10.659505176349732,29.035014257106845,CPV,Cabo Verde,4195.75433916189,285.9694519,adult,0.06815686257673584,outpatient
14.660852055068764,11.265727029024347,6.950475683805484,19.201149179283643,KHM,Cambodia,2083.59301849948,109.52975464,adult,0.05256772971857956,outpatient
12.758092390031031,10.173647141882295,5.912743095937494,16.411479726659792,CMR,Cameroon,1466.76885819356,71.97737885,adult,0.049072066432229645,outpatient
132.5736398988765,99.84965285581448,63.860444086076896,173.5396718560341,CAN,Canada,44468.7475023539,6255.02783203,adult,0.1406612100261852,outpatient
34.41840608493852,27.59874584508117,15.684466161483355,45.075304266558426,CAF,Central African Republic,398.330979969132,47.91517639,adult,0.12028985642470769,outpatient
14.624954297701985,9.916526907353358,7.477312840897991,19.293396364438337,TCD,Chad,567.181912180859,40.17007446,adult,0.07082396951895542,outpatient
58.96007393854132,43.37126266753079,29.521307890647176,76.12436561915631,CHL,Chile,14226.5180749128,1547.28967285,adult,0.10876095364321843,outpatient
24.810544203312357,23.727498222976404,10.131045847571041,31.49927966897612,CHN,China,12175.1961147248,672.45159912,adult,0.055231274534192555,outpatient
27.72368047793146,21.7215560740982,13.076349793011921,35.744340943144714,COL,Colombia,6819.17983072755,505.50805664,adult,0.07413033080051014,outpatient
24.739073477886052,17.431278569797236,12.534061803029317,32.01692081496398,COM,Comoros,1382.51969363483,122.93584442,adult,0.08892158642368786,outpatient
